Date,Price,Open,High,Low,Vol.,Change %
"Aug 07, 2012",832.96,836.09,836.84,831.55,593.46M,-0.07%
"Aug 08, 2012",835.75,836.79,839.53,834.71,1.27B,0.33%
"Aug 09, 2012",839.25,840.39,843.39,833.79,1.07B,0.42%
"Aug 10, 2012",841.50,838.26,841.50,833.82,481.46M,0.27%
"Aug 14, 2012",848.99,845.42,848.99,840.78,608.05M,0.89%
"Aug 15, 2012",848.75,845.54,848.89,841.48,621.37M,-0.03%
"Aug 16, 2012",845.18,849.85,851.22,845.18,758.51M,-0.42%
"Aug 17, 2012",843.73,849.45,849.46,840.87,664.55M,-0.17%
"Aug 20, 2012",846.85,842.03,847.76,838.96,391.19M,0.37%
"Aug 21, 2012",848.17,845.25,850.84,844.77,769.21M,0.16%
"Aug 22, 2012",848.83,846.25,849.58,844.86,662.96M,0.08%
"Aug 23, 2012",852.17,850.20,855.64,849.30,762.96M,0.39%
"Aug 24, 2012",850.60,847.31,851.26,845.71,836.93M,-0.18%
"Aug 27, 2012",846.66,852.16,853.93,846.66,548.94M,-0.46%
"Aug 28, 2012",845.55,846.94,850.84,845.44,836.70M,-0.13%
"Aug 29, 2012",834.88,845.34,847.96,834.88,873.52M,-1.26%
"Aug 30, 2012",830.52,831.61,832.38,825.35,905.78M,-0.52%
"Aug 31, 2012",840.32,829.25,840.32,827.67,1.06B,1.18%
"Sep 03, 2012",846.27,842.89,849.05,840.97,860.27M,0.71%
"Sep 04, 2012",846.46,849.88,850.56,843.01,943.44M,0.02%
"Sep 05, 2012",843.17,841.76,847.19,841.01,888.68M,-0.39%
"Sep 06, 2012",850.50,846.09,852.80,845.58,919.96M,0.87%
"Sep 07, 2012",851.95,858.49,859.74,851.95,1.06B,0.17%
"Sep 10, 2012",855.12,854.56,858.27,854.17,790.25M,0.37%
"Sep 11, 2012",852.80,854.59,856.43,850.17,1.39B,-0.27%
"Sep 12, 2012",862.15,858.15,862.15,856.00,925.54M,1.10%
"Sep 13, 2012",860.36,863.31,863.43,856.88,1.31B,-0.21%
"Sep 14, 2012",874.81,872.85,877.34,869.82,1.40B,1.68%
"Sep 17, 2012",876.61,875.76,879.40,872.67,926.51M,0.21%
"Sep 18, 2012",870.49,872.93,876.81,868.50,623.98M,-0.70%
"Sep 19, 2012",879.92,871.04,880.25,870.93,1.02B,1.08%
"Sep 20, 2012",877.22,876.74,879.99,871.90,1.00B,-0.31%
"Sep 21, 2012",878.85,879.06,881.12,875.82,1.01B,0.19%
"Sep 24, 2012",876.60,875.96,879.56,873.45,1.65B,-0.26%
"Sep 25, 2012",878.03,878.59,880.07,875.59,1.30B,0.16%
"Sep 26, 2012",868.98,873.92,875.69,866.03,1.75B,-1.03%
"Sep 27, 2012",876.67,870.50,880.37,870.05,953.38M,0.88%
"Sep 28, 2012",886.58,884.40,887.86,882.10,937.54M,1.13%
"Oct 01, 2012",884.21,882.98,887.89,881.68,593.83M,-0.27%
"Oct 02, 2012",887.50,887.69,890.11,884.53,644.96M,0.37%
"Oct 03, 2012",887.49,888.82,891.00,884.37,842.13M,0.00%
"Oct 04, 2012",886.98,887.85,892.63,885.82,1.12B,-0.06%
"Oct 05, 2012",889.77,890.16,892.45,887.74,857.75M,0.31%
"Oct 08, 2012",883.05,886.82,888.13,880.22,753.83M,-0.76%
"Oct 09, 2012",874.48,887.85,890.82,874.48,800.82M,-0.97%
"Oct 10, 2012",872.13,869.86,875.84,869.86,1.03B,-0.27%
"Oct 11, 2012",877.16,872.83,877.42,865.81,1.35B,0.58%
"Oct 12, 2012",879.31,879.68,882.96,878.15,843.50M,0.25%
"Oct 15, 2012",874.48,875.45,877.83,869.94,561.32M,-0.55%
"Oct 16, 2012",871.78,878.28,879.26,871.13,864.79M,-0.31%
"Oct 17, 2012",881.67,875.67,881.93,873.31,1.14B,1.13%
"Oct 18, 2012",889.29,885.64,889.78,882.00,1.25B,0.86%
"Oct 19, 2012",886.76,889.30,891.39,885.82,1.31B,-0.28%
"Oct 22, 2012",887.97,881.98,888.71,880.92,537.24M,0.14%
"Oct 24, 2012",875.64,882.76,885.45,873.21,1.21B,-1.39%
"Oct 25, 2012",877.61,873.97,878.93,868.34,716.72M,0.22%
"Oct 26, 2012",866.98,873.80,874.99,859.29,750.12M,-1.21%
"Oct 29, 2012",865.65,866.74,868.23,861.56,611.01M,-0.15%
"Oct 30, 2012",876.66,867.01,876.66,865.72,472.71M,1.27%
"Oct 31, 2012",879.06,876.21,880.38,874.39,647.01M,0.27%
"Nov 01, 2012",877.71,877.29,880.99,874.93,705.37M,-0.15%
"Nov 02, 2012",883.54,884.81,887.15,882.37,1.10B,0.66%
"Nov 05, 2012",883.43,883.62,886.73,880.66,660.44M,-0.01%
"Nov 06, 2012",878.72,884.21,888.42,876.61,609.10M,-0.53%
"Nov 07, 2012",877.02,881.60,882.70,875.40,1.04B,-0.19%
"Nov 08, 2012",872.18,868.58,873.02,866.42,955.20M,-0.55%
"Nov 09, 2012",873.17,871.70,877.28,869.50,774.43M,0.11%
"Nov 12, 2012",876.30,875.24,877.55,872.08,896.93M,0.36%
"Nov 13, 2012",871.41,873.47,874.48,867.59,1.27B,-0.56%
"Nov 14, 2012",864.47,872.78,874.61,864.08,964.40M,-0.80%
"Nov 15, 2012",862.90,861.09,863.71,855.61,937.88M,-0.18%
"Nov 16, 2012",867.07,862.47,867.29,861.52,501.57M,0.48%
"Nov 19, 2012",869.41,868.58,870.24,865.30,419.94M,0.27%
"Nov 20, 2012",864.21,873.80,875.02,862.27,509.58M,-0.60%
"Nov 21, 2012",864.97,865.29,866.41,858.55,476.27M,0.09%
"Nov 22, 2012",867.40,866.95,869.76,865.04,1.04B,0.28%
"Nov 23, 2012",869.72,865.40,870.16,862.17,472.53M,0.27%
"Nov 26, 2012",874.87,873.88,876.64,871.59,549.99M,0.59%
"Nov 27, 2012",879.61,876.75,880.61,875.49,695.17M,0.54%
"Nov 28, 2012",880.70,877.93,882.73,875.52,560.69M,0.12%
"Nov 29, 2012",887.44,883.62,888.84,883.09,993.15M,0.77%
"Nov 30, 2012",898.81,890.94,902.18,890.32,1.35B,1.28%
"Dec 03, 2012",904.43,902.10,905.23,899.94,760.06M,0.63%
"Dec 04, 2012",901.85,905.40,906.35,899.24,466.52M,-0.29%
"Dec 06, 2012",909.23,906.55,911.88,905.73,738.89M,0.82%
"Dec 07, 2012",905.71,910.27,911.57,902.08,535.59M,-0.39%
"Dec 11, 2012",911.37,910.53,913.58,908.34,722.97M,0.62%
"Dec 12, 2012",921.70,915.97,922.08,914.16,873.67M,1.13%
"Dec 13, 2012",920.41,922.80,925.39,917.93,633.05M,-0.14%
"Dec 14, 2012",922.86,921.09,924.96,919.85,755.95M,0.27%
"Dec 17, 2012",922.78,925.22,928.59,921.33,633.44M,-0.01%
"Dec 18, 2012",927.02,926.41,928.05,915.88,728.56M,0.46%
"Dec 19, 2012",938.71,932.13,939.03,929.89,660.55M,1.26%
"Dec 20, 2012",937.52,937.83,939.64,933.07,597.09M,-0.13%
"Dec 21, 2012",934.21,932.63,936.13,930.26,470.37M,-0.35%
"Dec 24, 2012",935.73,933.75,935.73,930.58,493.99M,0.16%
"Dec 25, 2012",937.42,935.07,937.90,934.19,841.28M,0.18%
"Dec 26, 2012",939.36,937.81,941.69,936.58,605.13M,0.21%
"Dec 27, 2012",951.29,941.13,952.79,940.35,717.19M,1.27%
"Dec 28, 2012",945.39,954.69,955.60,945.39,710.47M,-0.62%
"Jan 02, 2013",954.41,952.24,958.80,951.73,940.88M,0.95%
"Jan 03, 2013",953.05,957.06,959.26,951.83,1.23B,-0.14%
"Jan 04, 2013",958.42,950.42,958.42,946.31,1.39B,0.56%
"Jan 07, 2013",956.17,963.14,964.01,956.17,902.70M,-0.23%
"Jan 08, 2013",956.61,955.62,960.48,950.65,1.11B,0.05%
"Jan 09, 2013",959.45,960.62,964.79,959.15,1.37B,0.30%
"Jan 10, 2013",947.10,961.32,963.35,945.57,1.72B,-1.29%
"Jan 11, 2013",950.08,947.76,950.08,935.99,1.13B,0.31%
"Jan 14, 2013",957.21,953.57,958.84,950.61,1.79B,0.75%
"Jan 15, 2013",953.81,961.60,962.35,949.90,1.20B,-0.36%
"Jan 16, 2013",946.73,954.92,955.92,944.20,859.09M,-0.74%
"Jan 17, 2013",949.84,950.19,950.90,941.43,1.08B,0.33%
"Jan 18, 2013",959.56,955.26,961.12,953.87,1.67B,1.02%
"Jan 21, 2013",963.10,964.34,965.65,958.53,1.82B,0.37%
"Jan 22, 2013",960.22,963.89,971.50,959.85,1.36B,-0.30%
"Jan 23, 2013",965.24,965.32,967.66,953.40,1.51B,0.52%
"Jan 24, 2013",969.81,970.42,972.30,963.15,1.74B,0.47%
"Jan 25, 2013",977.53,971.13,978.99,970.08,1.81B,0.80%
"Jan 28, 2013",984.52,981.33,985.48,978.37,2.17B,0.72%
"Jan 29, 2013",989.92,986.83,990.78,982.43,2.27B,0.55%
"Jan 30, 2013",1000.25,993.40,1001.97,990.14,1.89B,1.04%
"Jan 31, 2013",988.21,997.22,1000.59,985.87,2.16B,-1.20%
"Feb 01, 2013",1005.09,993.32,1005.52,992.01,1.55B,1.71%
"Feb 04, 2013",1009.27,1011.58,1014.12,1006.84,1.49B,0.42%
"Feb 05, 2013",1007.88,1000.90,1010.86,999.98,949.98M,-0.14%
"Feb 06, 2013",1001.02,1008.47,1009.72,1000.04,1.18B,-0.68%
"Feb 07, 2013",999.93,997.95,1002.63,988.59,958.31M,-0.11%
"Feb 08, 2013",995.90,999.08,1005.56,994.68,1.82B,-0.40%
"Feb 11, 2013",986.18,997.75,998.59,986.18,1.02B,-0.98%
"Feb 12, 2013",983.68,984.54,990.07,982.12,1.27B,-0.25%
"Feb 13, 2013",1004.05,989.51,1004.14,989.46,1.84B,2.07%
"Feb 14, 2013",1012.43,1009.80,1013.06,1005.25,1.28B,0.83%
"Feb 15, 2013",1006.06,1009.92,1011.09,1001.91,1.40B,-0.63%
"Feb 18, 2013",1004.82,1006.91,1010.21,1003.58,1.03B,-0.12%
"Feb 19, 2013",1011.33,1007.87,1013.12,1005.52,929.55M,0.65%
"Feb 20, 2013",1021.05,1016.16,1021.59,1013.48,897.89M,0.96%
"Feb 21, 2013",1007.13,1013.92,1016.08,1005.62,977.85M,-1.36%
"Feb 22, 2013",1014.25,1006.06,1016.86,1005.19,1.34B,0.71%
"Feb 26, 2013",1004.67,1011.98,1012.78,999.94,1.23B,-0.94%
"Feb 27, 2013",994.37,1007.75,1009.74,994.37,981.14M,-1.03%
"Feb 28, 2013",1014.03,1002.02,1014.03,996.91,1.24B,1.98%
"Mar 01, 2013",1013.15,1015.48,1020.35,1010.77,995.98M,-0.09%
"Mar 04, 2013",1014.20,1013.80,1016.38,1007.79,1.11B,0.10%
"Mar 05, 2013",1018.94,1021.47,1023.53,1016.49,1.27B,0.47%
"Mar 06, 2013",1024.14,1025.15,1026.51,1020.77,996.00M,0.51%
"Mar 07, 2013",1022.64,1024.64,1025.61,1018.73,1.61B,-0.15%
"Mar 08, 2013",1025.72,1029.83,1031.31,1022.68,1.55B,0.30%
"Mar 11, 2013",1032.33,1029.98,1035.21,1027.51,1.82B,0.64%
"Mar 12, 2013",1032.74,1035.11,1037.14,1028.02,1.39B,0.04%
"Mar 13, 2013",1033.34,1033.34,1035.80,1027.74,1.06B,0.06%
"Mar 14, 2013",1038.12,1031.59,1038.59,1028.59,1.32B,0.46%
"Mar 15, 2013",1045.26,1044.45,1046.88,1040.68,2.06B,0.69%
"Mar 18, 2013",1041.27,1038.18,1043.78,1037.04,1.61B,-0.38%
"Mar 19, 2013",1029.44,1045.86,1047.64,1021.25,2.22B,-1.14%
"Mar 20, 2013",1016.01,1029.96,1030.86,1012.07,2.09B,-1.30%
"Mar 21, 2013",1008.14,1018.36,1019.66,1005.11,1.80B,-0.77%
"Mar 22, 2013",977.04,1003.43,1007.47,971.25,2.87B,-3.08%
"Mar 25, 2013",1002.43,987.29,1004.66,984.44,1.30B,2.60%
"Mar 26, 2013",1015.99,1002.53,1018.49,997.63,1.28B,1.35%
"Mar 27, 2013",1025.96,1021.61,1032.72,1020.81,1.11B,0.98%
"Mar 28, 2013",1014.98,1022.91,1025.95,1012.06,1.56B,-1.07%
"Mar 29, 2013",1024.92,1021.29,1029.33,1020.78,1.01B,0.98%
"Apr 01, 2013",1017.35,1024.99,1025.31,1016.90,642.38M,-0.74%
"Apr 02, 2013",1021.89,1020.00,1024.49,1012.04,780.04M,0.45%
"Apr 03, 2013",1004.67,1027.22,1030.26,1003.40,1.12B,-1.69%
"Apr 04, 2013",1010.71,982.66,1010.71,980.91,1.13B,0.60%
"Apr 05, 2013",982.48,1000.06,1001.92,980.14,915.02M,-2.79%
"Apr 09, 2013",971.41,985.86,986.63,968.90,661.34M,-1.13%
"Apr 10, 2013",984.77,975.04,984.77,962.05,748.34M,1.38%
"Apr 11, 2013",1002.02,991.67,1002.08,984.55,808.00M,1.75%
"Apr 12, 2013",1007.45,1003.52,1010.60,999.42,633.09M,0.54%
"Apr 17, 2013",1003.73,1005.11,1015.62,1001.27,1.07B,-0.37%
"Apr 18, 2013",1008.83,1003.23,1009.05,994.49,894.84M,0.51%
"Apr 19, 2013",1018.36,1012.14,1022.82,1009.19,1.16B,0.94%
"Apr 22, 2013",1027.92,1027.66,1028.66,1017.66,1.14B,0.94%
"Apr 23, 2013",1021.18,1025.61,1031.38,1018.81,1.01B,-0.66%
"Apr 24, 2013",1024.94,1026.00,1029.32,1021.68,1.22B,0.37%
"Apr 25, 2013",1039.46,1026.64,1040.12,1025.54,1.10B,1.42%
"Apr 26, 2013",1044.82,1044.99,1048.69,1039.59,868.72M,0.52%
"Apr 29, 2013",1046.12,1049.61,1051.96,1039.44,1.07B,0.12%
"Apr 30, 2013",1055.62,1051.99,1055.62,1046.08,903.80M,0.91%
"May 02, 2013",1050.48,1058.74,1059.98,1049.64,1.22B,-0.49%
"May 03, 2013",1042.70,1054.92,1056.83,1040.99,1.11B,-0.74%
"May 07, 2013",1061.37,1049.43,1061.37,1038.83,909.32M,1.79%
"May 08, 2013",1071.05,1066.68,1076.58,1064.76,1.09B,0.91%
"May 09, 2013",1075.95,1073.77,1079.77,1067.70,1.20B,0.46%
"May 10, 2013",1076.13,1076.64,1079.54,1070.14,958.69M,0.02%
"May 13, 2013",1071.68,1074.94,1077.93,1065.12,902.80M,-0.41%
"May 14, 2013",1074.35,1073.30,1079.77,1072.37,927.67M,0.25%
"May 15, 2013",1081.13,1080.46,1084.09,1078.51,882.81M,0.63%
"May 16, 2013",1072.89,1083.05,1084.81,1067.90,1.22B,-0.76%
"May 17, 2013",1079.78,1070.43,1083.13,1067.09,939.57M,0.64%
"May 20, 2013",1092.27,1086.04,1094.62,1085.41,1.06B,1.16%
"May 21, 2013",1091.20,1093.31,1096.29,1088.24,1.05B,-0.10%
"May 22, 2013",1081.69,1089.41,1094.60,1081.20,1.47B,-0.87%
"May 23, 2013",1064.49,1075.66,1079.68,1048.25,1.79B,-1.59%
"May 27, 2013",1053.50,1057.67,1058.02,1047.82,1.20B,-1.03%
"May 28, 2013",1072.57,1053.45,1072.57,1052.52,1.13B,1.81%
"May 29, 2013",1058.59,1070.85,1075.93,1056.93,1.24B,-1.30%
"May 30, 2013",1044.40,1048.90,1056.26,1041.47,1.06B,-1.34%
"May 31, 2013",1029.01,1049.86,1054.27,1024.14,1.82B,-1.47%
"Jun 03, 2013",1015.37,1025.82,1032.75,1012.13,1.31B,-1.33%
"Jun 04, 2013",1028.91,1019.41,1029.97,1005.27,1.22B,1.33%
"Jun 05, 2013",1005.65,1022.27,1024.18,1005.65,993.34M,-2.26%
"Jun 06, 2013",989.00,997.20,999.82,983.87,2.07B,-1.66%
"Jun 07, 2013",1007.39,985.30,1008.31,984.49,1.47B,1.86%
"Jun 10, 2013",1014.27,1018.07,1023.03,1012.23,639.05M,0.68%
"Jun 11, 2013",962.73,1006.40,1006.81,958.82,1.34B,-5.08%
"Jun 12, 2013",950.87,950.74,969.52,942.50,1.43B,-1.23%
"Jun 13, 2013",938.26,917.91,944.58,903.24,2.16B,-1.33%
"Jun 14, 2013",978.87,964.89,979.08,962.14,1.50B,4.33%
"Jun 17, 2013",982.16,982.57,985.27,966.77,897.27M,0.34%
"Jun 18, 2013",950.53,980.64,997.14,950.53,1.23B,-3.22%
"Jun 19, 2013",960.32,962.23,966.10,942.30,1.12B,1.03%
"Jun 20, 2013",937.44,932.01,944.24,927.56,1.34B,-2.38%
"Jun 21, 2013",940.65,921.76,945.86,907.93,1.90B,0.34%
"Jun 24, 2013",916.55,932.75,943.78,916.55,1.03B,-2.56%
"Jun 25, 2013",934.24,923.73,941.53,899.82,1.57B,1.93%
"Jun 26, 2013",961.98,945.77,963.07,937.81,1.48B,2.97%
"Jun 27, 2013",978.96,981.25,989.45,958.05,1.45B,1.77%
"Jun 28, 2013",982.99,992.16,994.32,978.22,1.28B,0.41%
"Jul 02, 2013",992.00,992.28,1000.20,983.65,1.14B,0.92%
"Jul 03, 2013",977.00,984.84,992.06,969.35,1.40B,-1.51%
"Jul 04, 2013",969.00,981.96,984.40,964.01,1.66B,-0.82%
"Jul 05, 2013",977.53,978.22,980.64,969.26,892.18M,0.88%
"Jul 08, 2013",952.19,965.50,970.15,952.14,1.20B,-2.59%
"Jul 09, 2013",949.11,954.46,963.50,948.47,1.51B,-0.32%
"Jul 10, 2013",946.66,951.65,955.69,936.62,1.48B,-0.26%
"Jul 11, 2013",989.22,962.41,989.22,961.68,1.51B,4.50%
"Jul 12, 2013",991.60,993.97,997.49,984.00,1.12B,0.24%
"Jul 15, 2013",989.99,999.20,999.53,986.02,1.05B,-0.16%
"Jul 16, 2013",986.45,987.71,990.11,975.11,964.17M,-0.36%
"Jul 17, 2013",991.41,991.46,995.97,986.21,873.10M,0.50%
"Jul 18, 2013",1010.46,995.60,1011.41,994.48,1.32B,1.92%
"Jul 19, 2013",1004.94,1011.56,1011.68,1000.50,1.30B,-0.55%
"Jul 23, 2013",1027.39,1019.60,1027.39,1015.78,1.33B,2.23%
"Jul 24, 2013",1017.90,1026.00,1030.20,1014.77,1.43B,-0.92%
"Jul 25, 2013",987.42,1012.12,1013.16,987.38,1.69B,-2.99%
"Jul 26, 2013",1002.93,991.02,1002.93,979.99,1.20B,1.57%
"Jul 29, 2013",986.13,991.43,992.46,983.72,921.98M,-1.68%
"Jul 30, 2013",971.85,989.77,994.44,971.42,802.95M,-1.45%
"Jul 31, 2013",966.03,972.71,973.39,950.19,1.25B,-0.60%
"Aug 01, 2013",977.47,977.00,982.59,967.23,864.12M,1.18%
"Aug 02, 2013",966.98,979.06,980.66,956.64,1.32B,-1.07%
"Aug 05, 2013",970.19,963.99,973.03,956.15,685.27M,0.33%
"Aug 06, 2013",973.34,960.71,981.92,958.45,895.43M,0.32%
"Aug 07, 2013",972.45,966.20,977.10,963.85,901.08M,-0.09%
"Aug 08, 2013",983.96,979.25,990.36,978.60,1.07B,1.18%
"Aug 09, 2013",969.70,982.35,982.59,969.07,875.68M,-1.45%
"Aug 13, 2013",989.86,977.87,989.86,976.77,1.23B,2.08%
"Aug 14, 2013",992.98,987.88,993.13,985.17,932.69M,0.32%
"Aug 15, 2013",986.83,991.22,993.37,982.93,1.11B,-0.62%
"Aug 16, 2013",981.08,978.05,986.18,977.47,1.32B,-0.58%
"Aug 19, 2013",947.70,974.73,975.58,947.70,1.54B,-3.40%
"Aug 20, 2013",931.47,934.72,935.88,917.10,2.09B,-1.71%
"Aug 21, 2013",918.82,919.68,932.88,917.99,1.96B,-1.36%
"Aug 22, 2013",919.82,908.93,922.74,898.52,2.19B,0.11%
"Aug 23, 2013",908.97,932.17,933.35,908.58,2.23B,-1.18%
